service_time,arrival_time        ,inter_arrival_time,time_service_begins,queue_wait_time     ,time_service_ends,time_in_system,server_idle_time
1056.44     ,0.0                 ,1056.44           ,1056.44            ,0.0                 ,1061.37          ,4.93          ,7.960000000000036
1061.93     ,0.0                 ,1061.93           ,1061.93            ,0.0                 ,1066.71          ,4.78          ,0.5600000000001728
1068.24     ,0.0                 ,1068.24           ,1068.24            ,0.0                 ,1073.24          ,5.0           ,1.5299999999999727
1082.9      ,0.0                 ,1082.9            ,1082.9             ,0.0                 ,1087.43          ,4.53          ,9.660000000000082
1094.75     ,0.0                 ,1094.75           ,1094.75            ,0.0                 ,1099.7           ,4.95          ,7.319999999999936
1102.01     ,0.0                 ,1102.01           ,1102.01            ,0.0                 ,1106.73          ,4.72          ,2.3099999999999454
1109.72     ,0.0                 ,1109.72           ,1109.72            ,0.0                 ,1114.13          ,4.41          ,2.990000000000009
1118.34     ,0.0                 ,1118.34           ,1118.34            ,0.0                 ,1123.01          ,4.67          ,4.209999999999809
1125.08     ,0.0                 ,1125.08           ,1125.08            ,0.0                 ,1129.84          ,4.76          ,2.0699999999999363
1136.05     ,0.0                 ,1136.05           ,1136.05            ,0.0                 ,1140.51          ,4.46          ,6.210000000000036
1144.58     ,0.0                 ,1144.58           ,1144.58            ,0.0                 ,1149.13          ,4.55          ,4.069999999999936
1157.15     ,0.0                 ,1157.15           ,1157.15            ,0.0                 ,1161.11          ,3.96          ,8.019999999999982
1166.89     ,0.0                 ,1166.89           ,1166.89            ,0.0                 ,1171.67          ,4.78          ,5.7800000000002
1179.4      ,0.0                 ,1179.4            ,1179.4             ,0.0                 ,1183.46          ,4.06          ,7.730000000000018
1192.09     ,0.0                 ,1192.09           ,1192.09            ,0.0                 ,1196.16          ,4.07          ,8.629999999999882
1204.54     ,0.0                 ,1204.54           ,1204.54            ,0.0                 ,1209.46          ,4.92          ,8.379999999999882
1213.38     ,0.0                 ,1213.38           ,1213.38            ,0.0                 ,1217.92          ,4.54          ,3.9200000000000728
1224.33     ,0.0                 ,1224.33           ,1224.33            ,0.0                 ,1228.84          ,4.51          ,6.4099999999998545
1237.15     ,0.0                 ,1237.15           ,1237.15            ,0.0                 ,1241.6           ,4.45          ,8.310000000000173
1250.6      ,0.0                 ,1250.6            ,1250.6             ,0.0                 ,1254.65          ,4.05          ,9.0
1265.49     ,0.0                 ,1265.49           ,1265.49            ,0.0                 ,1270.05          ,4.56          ,10.839999999999918
1270.05     ,2.759999999999991   ,1267.29           ,1270.05            ,2.759999999999991   ,1274.1           ,6.81          ,0.0
1284.51     ,0.0                 ,1284.51           ,1284.51            ,0.0                 ,1288.73          ,4.22          ,10.410000000000082
1302.08     ,0.0                 ,1302.08           ,1302.08            ,0.0                 ,1306.59          ,4.51          ,13.349999999999909
1306.59     ,1.4800000000000182  ,1305.11           ,1306.59            ,1.4800000000000182  ,1311.37          ,6.26          ,0.0
1315.07     ,0.0                 ,1315.07           ,1315.07            ,0.0                 ,1319.59          ,4.52          ,3.7000000000000455
1320.88     ,0.0                 ,1320.88           ,1320.88            ,0.0                 ,1325.82          ,4.94          ,1.290000000000191
